 kgrid  ValNew  Policy 
    0.85 -48.2802        0
 0.85003 -48.2776        0
 0.85006 -48.2751        0
 0.85009 -48.2726        0
 0.85012   -48.27        0
 0.85015 -48.2675        0
 0.85018  -48.265        0
 0.85021 -48.2624        0
 0.85024 -48.2599        0
 0.85027 -48.2574        0
  0.8503 -48.2548        0
 0.85033 -48.2523        0
 0.85036 -48.2498        0
 0.85039 -48.2472        0
 0.85042 -48.2447        0
 0.85045 -48.2422        0
 0.85048 -48.2396        0
 0.85051 -48.2371        0
 0.85054 -48.2346        0
 0.85057  -48.232        0
  0.8506 -48.2295        0
 0.85063  -48.227        0
 0.85066 -48.2244        0
 0.85069 -48.2219        0
 0.85072 -48.2194        0
 0.85075 -48.2168        0
 0.85078 -48.2143        0
 0.85081 -48.2118        0
 0.85084 -48.2092        0
 0.85087 -48.2067        0
  0.8509 -48.2042        0
 0.85093 -48.2017        0
 0.85096 -48.1991        0
 0.85099 -48.1966        0
 0.85102 -48.1941        0
 0.85105 -48.1915        0
 0.85108  -48.189        0
 0.85111 -48.1865        0
 0.85114  -48.184        0
 0.85117 -48.1814        0
  0.8512 -48.1789        0
 0.85123 -48.1764        0
 0.85126 -48.1739        0
 0.85129 -48.1713        0
 0.85132 -48.1688        0
 0.85135 -48.1663        0
 0.85138 -48.1638        0
 0.85141 -48.1612        0
 0.85144 -48.1587        0
 0.85147 -48.1562        0
  0.8515 -48.1537        0
 0.85153 -48.1511        0
 0.85156 -48.1486        0
 0.85159 -48.1461        0
 0.85162 -48.1436        0
 0.85165  -48.141        0
 0.85168 -48.1385        0
 0.85171  -48.136        0
 0.85174 -48.1335        0
 0.85177 -48.1309        0
  0.8518 -48.1284        0
 0.85183 -48.1259        0
 0.85186 -48.1234        0
 0.85189 -48.1209        0
 0.85192 -48.1183        0
 0.85195 -48.1158        0
 0.85198 -48.1133        0
 0.85201 -48.1108        0
 0.85204 -48.1083        0
 0.85207 -48.1057        0
  0.8521 -48.1032        0
 0.85213 -48.1007        0
 0.85216 -48.0982        0
 0.85219 -48.0957        0
 0.85222 -48.0931        0
 0.85225 -48.0906        0
 0.85228 -48.0881        0
 0.85231 -48.0856        0
 0.85234 -48.0831        0
 0.85237 -48.0806        0
  0.8524  -48.078        0
 0.85243 -48.0755        0
 0.85246  -48.073        0
 0.85249 -48.0705        0
 0.85252  -48.068        0
 0.85255 -48.0655        0
 0.85258  -48.063        0
 0.85261 -48.0604        0
 0.85264 -48.0579        0
 0.85267 -48.0554        0
  0.8527 -48.0529        0
 0.85273 -48.0504        0
 0.85276 -48.0479        0
 0.85279 -48.0454        0
 0.85282 -48.0428        0
 0.85285 -48.0403        0
 0.85288 -48.0378        0
 0.85291 -48.0353        0
 0.85294 -48.0328        0
 0.85297 -48.0303        0
   0.853 -48.0278        0
 0.85303 -48.0253        0
 0.85306 -48.0227        0
 0.85309 -48.0202        0
 0.85312 -48.0177        0
 0.85315 -48.0152        0
 0.85318 -48.0127        0
 0.85321 -48.0102        0
 0.85324 -48.0077        0
 0.85327 -48.0052        0
  0.8533 -48.0027        0
 0.85333 -48.0002        0
 0.85336 -47.9977        0
 0.85339 -47.9951        0
 0.85342 -47.9926        0
 0.85345 -47.9901        0
 0.85348 -47.9876        0
 0.85351 -47.9851        0
 0.85354 -47.9826        0
 0.85357 -47.9801        0
  0.8536 -47.9776        0
 0.85363 -47.9751        0
 0.85366 -47.9726        0
 0.85369 -47.9701        0
 0.85372 -47.9676        0
 0.85375 -47.9651        0
 0.85378 -47.9626        0
 0.85381 -47.9601        0
 0.85384 -47.9576        0
 0.85387  -47.955        0
  0.8539 -47.9525        0
 0.85393   -47.95        0
 0.85396 -47.9475        0
 0.85399  -47.945        0
 0.85402 -47.9425        0
 0.85405   -47.94        0
 0.85408 -47.9375        0
 0.85411  -47.935        0
 0.85414 -47.9325        0
 0.85417   -47.93        0
  0.8542 -47.9275        0
 0.85423  -47.925        0
 0.85426 -47.9225        0
 0.85429   -47.92        0
 0.85432 -47.9175        0
 0.85435  -47.915        0
 0.85438 -47.9125        0
 0.85441   -47.91        0
 0.85444 -47.9075        0
 0.85447  -47.905        0
  0.8545 -47.9025        0
 0.85453    -47.9        0
 0.85456 -47.8975        0
 0.85459  -47.895        0
 0.85462 -47.8925        0
 0.85465   -47.89        0
 0.85468 -47.8875        0
 0.85471  -47.885        0
 0.85474 -47.8825        0
 0.85477   -47.88        0
