 kgrid  ValNew  Policy 
    0.85 -23.5654 0.884629
0.850003 -23.5652 0.884629
0.850006  -23.565 0.884632
0.850009 -23.5647 0.884635
0.850012 -23.5645 0.884638
0.850015 -23.5643 0.884638
0.850018 -23.5641 0.884641
0.850021 -23.5639 0.884644
0.850024 -23.5636 0.884647
0.850027 -23.5634 0.884647
 0.85003 -23.5632  0.88465
0.850033  -23.563 0.884653
0.850036 -23.5628 0.884656
0.850039 -23.5625 0.884659
0.850042 -23.5623 0.884659
0.850045 -23.5621 0.884662
0.850048 -23.5619 0.884665
0.850051 -23.5617 0.884668
0.850054 -23.5614 0.884668
0.850057 -23.5612 0.884671
 0.85006  -23.561 0.884674
0.850063 -23.5608 0.884677
0.850066 -23.5606 0.884677
0.850069 -23.5603  0.88468
0.850072 -23.5601 0.884683
0.850075 -23.5599 0.884686
0.850078 -23.5597 0.884689
0.850081 -23.5595 0.884689
0.850084 -23.5592 0.884692
0.850087  -23.559 0.884695
 0.85009 -23.5588 0.884698
0.850093 -23.5586 0.884698
0.850096 -23.5584 0.884701
0.850099 -23.5581 0.884704
0.850102 -23.5579 0.884707
0.850105 -23.5577 0.884707
0.850108 -23.5575  0.88471
0.850111 -23.5573 0.884713
0.850114  -23.557 0.884716
0.850117 -23.5568 0.884719
 0.85012 -23.5566 0.884719
0.850123 -23.5564 0.884722
0.850126 -23.5562 0.884725
0.850129 -23.5559 0.884728
0.850132 -23.5557 0.884728
0.850135 -23.5555 0.884731
0.850138 -23.5553 0.884734
0.850141 -23.5551 0.884737
0.850144 -23.5548 0.884737
0.850147 -23.5546  0.88474
 0.85015 -23.5544 0.884743
0.850153 -23.5542 0.884746
0.850156  -23.554 0.884749
0.850159 -23.5537 0.884749
0.850162 -23.5535 0.884752
0.850165 -23.5533 0.884755
0.850168 -23.5531 0.884758
0.850171 -23.5529 0.884758
0.850174 -23.5527 0.884761
0.850177 -23.5524 0.884764
 0.85018 -23.5522 0.884767
0.850183  -23.552 0.884767
0.850186 -23.5518  0.88477
0.850189 -23.5516 0.884773
0.850192 -23.5513 0.884776
0.850195 -23.5511 0.884776
0.850198 -23.5509 0.884779
0.850201 -23.5507 0.884782
0.850204 -23.5505 0.884785
0.850207 -23.5502 0.884788
 0.85021   -23.55 0.884788
0.850213 -23.5498 0.884791
0.850216 -23.5496 0.884794
0.850219 -23.5494 0.884797
0.850222 -23.5491 0.884797
0.850225 -23.5489   0.8848
0.850228 -23.5487 0.884803
0.850231 -23.5485 0.884806
0.850234 -23.5483 0.884806
0.850237  -23.548 0.884809
 0.85024 -23.5478 0.884812
0.850243 -23.5476 0.884815
0.850246 -23.5474 0.884818
0.850249 -23.5472 0.884818
0.850252 -23.5469 0.884821
0.850255 -23.5467 0.884824
0.850258 -23.5465 0.884827
0.850261 -23.5463 0.884827
0.850264 -23.5461  0.88483
0.850267 -23.5458 0.884833
 0.85027 -23.5456 0.884836
0.850273 -23.5454 0.884836
0.850276 -23.5452 0.884839
0.850279  -23.545 0.884842
0.850282 -23.5447 0.884845
0.850285 -23.5445 0.884848
0.850288 -23.5443 0.884848
0.850291 -23.5441 0.884851
0.850294 -23.5439 0.884854
0.850297 -23.5437 0.884857
  0.8503 -23.5434 0.884857
0.850303 -23.5432  0.88486
0.850306  -23.543 0.884863
0.850309 -23.5428 0.884866
0.850312 -23.5426 0.884866
0.850315 -23.5423 0.884869
0.850318 -23.5421 0.884872
0.850321 -23.5419 0.884875
0.850324 -23.5417 0.884878
0.850327 -23.5415 0.884878
 0.85033 -23.5412 0.884881
0.850333  -23.541 0.884884
0.850336 -23.5408 0.884887
0.850339 -23.5406 0.884887
0.850342 -23.5404  0.88489
0.850345 -23.5401 0.884893
0.850348 -23.5399 0.884896
0.850351 -23.5397 0.884896
0.850354 -23.5395 0.884899
0.850357 -23.5393 0.884902
 0.85036  -23.539 0.884905
0.850363 -23.5388 0.884908
0.850366 -23.5386 0.884908
0.850369 -23.5384 0.884911
0.850372 -23.5382 0.884914
0.850375 -23.5379 0.884917
0.850378 -23.5377 0.884917
0.850381 -23.5375  0.88492
0.850384 -23.5373 0.884923
0.850387 -23.5371 0.884926
 0.85039 -23.5369 0.884926
0.850393 -23.5366 0.884929
0.850396 -23.5364 0.884932
0.850399 -23.5362 0.884935
0.850402  -23.536 0.884938
0.850405 -23.5358 0.884938
0.850408 -23.5355 0.884941
0.850411 -23.5353 0.884944
0.850414 -23.5351 0.884947
0.850417 -23.5349 0.884947
 0.85042 -23.5347  0.88495
0.850423 -23.5344 0.884953
0.850426 -23.5342 0.884956
0.850429  -23.534 0.884956
0.850432 -23.5338 0.884959
0.850435 -23.5336 0.884962
0.850438 -23.5333 0.884965
0.850441 -23.5331 0.884965
0.850444 -23.5329 0.884968
0.850447 -23.5327 0.884971
 0.85045 -23.5325 0.884974
0.850453 -23.5322 0.884977
0.850456  -23.532 0.884977
0.850459 -23.5318  0.88498
0.850462 -23.5316 0.884983
0.850465 -23.5314 0.884986
0.850468 -23.5311 0.884986
0.850471 -23.5309 0.884989
0.850474 -23.5307 0.884992
0.850477 -23.5305 0.884995
 0.85048 -23.5303 0.884995
0.850483 -23.5301 0.884998
0.850486 -23.5298 0.885001
0.850489 -23.5296 0.885004
0.850492 -23.5294 0.885007
0.850495 -23.5292 0.885007
0.850498  -23.529  0.88501
0.850501 -23.5287 0.885013
0.850504 -23.5285 0.885016
0.850507 -23.5283 0.885016
 0.85051 -23.5281 0.885019
