 kgrid  ValNew  Policy 
    0.85  -36.105 0.860059
0.850003 -36.1047 0.860062
0.850006 -36.1045 0.860065
0.850009 -36.1042 0.860065
0.850012 -36.1039 0.860068
0.850015 -36.1037 0.860071
0.850018 -36.1034 0.860074
0.850021 -36.1031 0.860074
0.850024 -36.1029 0.860077
0.850027 -36.1026  0.86008
 0.85003 -36.1023  0.86008
0.850033 -36.1021 0.860083
0.850036 -36.1018 0.860086
0.850039 -36.1015 0.860089
0.850042 -36.1012 0.860089
0.850045  -36.101 0.860092
0.850048 -36.1007 0.860095
0.850051 -36.1004 0.860095
0.850054 -36.1002 0.860098
0.850057 -36.0999 0.860101
 0.85006 -36.0996 0.860101
0.850063 -36.0994 0.860104
0.850066 -36.0991 0.860107
0.850069 -36.0988  0.86011
0.850072 -36.0986  0.86011
0.850075 -36.0983 0.860113
0.850078  -36.098 0.860116
0.850081 -36.0978 0.860116
0.850084 -36.0975 0.860119
0.850087 -36.0972 0.860122
 0.85009 -36.0969 0.860122
0.850093 -36.0967 0.860125
0.850096 -36.0964 0.860128
0.850099 -36.0961 0.860131
0.850102 -36.0959 0.860131
0.850105 -36.0956 0.860134
0.850108 -36.0953 0.860137
0.850111 -36.0951 0.860137
0.850114 -36.0948  0.86014
0.850117 -36.0945 0.860143
 0.85012 -36.0943 0.860143
0.850123  -36.094 0.860146
0.850126 -36.0937 0.860149
0.850129 -36.0935 0.860152
0.850132 -36.0932 0.860152
0.850135 -36.0929 0.860155
0.850138 -36.0927 0.860158
0.850141 -36.0924 0.860158
0.850144 -36.0921 0.860161
0.850147 -36.0918 0.860164
 0.85015 -36.0916 0.860164
0.850153 -36.0913 0.860167
0.850156  -36.091  0.86017
0.850159 -36.0908 0.860173
0.850162 -36.0905 0.860173
0.850165 -36.0902 0.860176
0.850168   -36.09 0.860179
0.850171 -36.0897 0.860179
0.850174 -36.0894 0.860182
0.850177 -36.0892 0.860185
 0.85018 -36.0889 0.860185
0.850183 -36.0886 0.860188
0.850186 -36.0884 0.860191
0.850189 -36.0881 0.860194
0.850192 -36.0878 0.860194
0.850195 -36.0875 0.860197
0.850198 -36.0873   0.8602
0.850201  -36.087   0.8602
0.850204 -36.0867 0.860203
0.850207 -36.0865 0.860206
 0.85021 -36.0862 0.860206
0.850213 -36.0859 0.860209
0.850216 -36.0857 0.860212
0.850219 -36.0854 0.860215
0.850222 -36.0851 0.860215
0.850225 -36.0849 0.860218
0.850228 -36.0846 0.860221
0.850231 -36.0843 0.860221
