 kgrid  ValNew  Policy 
    0.85  -24.998 0.870928
0.850003 -24.9978 0.870931
0.850006 -24.9976 0.870934
0.850009 -24.9973 0.870934
0.850012 -24.9971 0.870937
0.850015 -24.9968  0.87094
0.850018 -24.9966  0.87094
0.850021 -24.9964 0.870943
0.850024 -24.9961 0.870946
0.850027 -24.9959 0.870946
 0.85003 -24.9957 0.870949
0.850033 -24.9954 0.870952
0.850036 -24.9952 0.870952
0.850039 -24.9949 0.870955
0.850042 -24.9947 0.870958
0.850045 -24.9945 0.870958
0.850048 -24.9942 0.870961
0.850051  -24.994 0.870964
0.850054 -24.9937 0.870964
0.850057 -24.9935 0.870967
 0.85006 -24.9933  0.87097
0.850063  -24.993 0.870973
0.850066 -24.9928 0.870973
0.850069 -24.9926 0.870976
0.850072 -24.9923 0.870979
0.850075 -24.9921 0.870979
0.850078 -24.9918 0.870982
0.850081 -24.9916 0.870985
0.850084 -24.9914 0.870985
0.850087 -24.9911 0.870988
 0.85009 -24.9909 0.870991
0.850093 -24.9906 0.870991
0.850096 -24.9904 0.870994
0.850099 -24.9902 0.870997
0.850102 -24.9899 0.870997
0.850105 -24.9897    0.871
0.850108 -24.9895 0.871003
0.850111 -24.9892 0.871003
0.850114  -24.989 0.871006
0.850117 -24.9887 0.871009
 0.85012 -24.9885 0.871009
0.850123 -24.9883 0.871012
0.850126  -24.988 0.871015
0.850129 -24.9878 0.871015
0.850132 -24.9875 0.871018
0.850135 -24.9873 0.871021
0.850138 -24.9871 0.871024
0.850141 -24.9868 0.871024
0.850144 -24.9866 0.871027
0.850147 -24.9863  0.87103
 0.85015 -24.9861  0.87103
0.850153 -24.9859 0.871033
0.850156 -24.9856 0.871036
0.850159 -24.9854 0.871036
0.850162 -24.9852 0.871039
0.850165 -24.9849 0.871042
0.850168 -24.9847 0.871042
0.850171 -24.9844 0.871045
0.850174 -24.9842 0.871048
0.850177  -24.984 0.871048
 0.85018 -24.9837 0.871051
0.850183 -24.9835 0.871054
0.850186 -24.9832 0.871054
0.850189  -24.983 0.871057
0.850192 -24.9828  0.87106
0.850195 -24.9825 0.871063
0.850198 -24.9823 0.871063
0.850201 -24.9821 0.871066
0.850204 -24.9818 0.871069
0.850207 -24.9816 0.871069
 0.85021 -24.9813 0.871072
0.850213 -24.9811 0.871075
0.850216 -24.9809 0.871075
0.850219 -24.9806 0.871078
0.850222 -24.9804 0.871081
0.850225 -24.9801 0.871081
0.850228 -24.9799 0.871084
0.850231 -24.9797 0.871087
0.850234 -24.9794 0.871087
0.850237 -24.9792  0.87109
 0.85024  -24.979 0.871093
0.850243 -24.9787 0.871096
0.850246 -24.9785 0.871096
0.850249 -24.9782 0.871099
0.850252  -24.978 0.871102
0.850255 -24.9778 0.871102
0.850258 -24.9775 0.871105
0.850261 -24.9773 0.871108
0.850264  -24.977 0.871108
0.850267 -24.9768 0.871111
 0.85027 -24.9766 0.871114
0.850273 -24.9763 0.871114
0.850276 -24.9761 0.871117
0.850279 -24.9759  0.87112
0.850282 -24.9756  0.87112
0.850285 -24.9754 0.871123
0.850288 -24.9751 0.871126
0.850291 -24.9749 0.871129
0.850294 -24.9747 0.871129
0.850297 -24.9744 0.871132
  0.8503 -24.9742 0.871135
0.850303 -24.9739 0.871135
0.850306 -24.9737 0.871138
0.850309 -24.9735 0.871141
0.850312 -24.9732 0.871141
0.850315  -24.973 0.871144
0.850318 -24.9728 0.871147
0.850321 -24.9725 0.871147
0.850324 -24.9723  0.87115
0.850327  -24.972 0.871153
 0.85033 -24.9718 0.871153
0.850333 -24.9716 0.871156
0.850336 -24.9713 0.871159
0.850339 -24.9711 0.871162
