 kgrid  ValNew  Policy 
    0.85 -28.5306 0.887176
0.850003 -28.5304 0.887179
0.850006 -28.5302 0.887182
0.850009   -28.53 0.887185
0.850012 -28.5297 0.887185
0.850015 -28.5295 0.887188
0.850018 -28.5293 0.887191
0.850021  -28.529 0.887194
0.850024 -28.5288 0.887197
0.850027 -28.5286   0.8872
 0.85003 -28.5284   0.8872
0.850033 -28.5281 0.887203
0.850036 -28.5279 0.887206
0.850039 -28.5277 0.887209
0.850042 -28.5275 0.887212
0.850045 -28.5272 0.887212
0.850048  -28.527 0.887215
0.850051 -28.5268 0.887218
0.850054 -28.5266 0.887221
0.850057 -28.5263 0.887224
 0.85006 -28.5261 0.887224
0.850063 -28.5259 0.887227
0.850066 -28.5257  0.88723
0.850069 -28.5254 0.887233
0.850072 -28.5252 0.887236
0.850075  -28.525 0.887236
0.850078 -28.5248 0.887239
0.850081 -28.5245 0.887242
0.850084 -28.5243 0.887245
0.850087 -28.5241 0.887248
 0.85009 -28.5238 0.887248
0.850093 -28.5236 0.887251
0.850096 -28.5234 0.887254
0.850099 -28.5232 0.887257
0.850102 -28.5229  0.88726
0.850105 -28.5227  0.88726
0.850108 -28.5225 0.887263
0.850111 -28.5223 0.887266
0.850114  -28.522 0.887269
0.850117 -28.5218 0.887272
 0.85012 -28.5216 0.887272
0.850123 -28.5214 0.887275
0.850126 -28.5211 0.887278
0.850129 -28.5209 0.887281
0.850132 -28.5207 0.887284
0.850135 -28.5205 0.887284
0.850138 -28.5202 0.887287
0.850141   -28.52  0.88729
0.850144 -28.5198 0.887293
0.850147 -28.5195 0.887296
 0.85015 -28.5193 0.887296
0.850153 -28.5191 0.887299
0.850156 -28.5189 0.887302
0.850159 -28.5186 0.887305
0.850162 -28.5184 0.887308
0.850165 -28.5182 0.887308
0.850168  -28.518 0.887311
0.850171 -28.5177 0.887314
0.850174 -28.5175 0.887317
0.850177 -28.5173  0.88732
 0.85018 -28.5171  0.88732
0.850183 -28.5168 0.887323
0.850186 -28.5166 0.887326
0.850189 -28.5164 0.887329
0.850192 -28.5162 0.887332
0.850195 -28.5159 0.887332
0.850198 -28.5157 0.887335
0.850201 -28.5155 0.887338
0.850204 -28.5153 0.887341
0.850207  -28.515 0.887344
 0.85021 -28.5148 0.887344
0.850213 -28.5146 0.887347
0.850216 -28.5143  0.88735
0.850219 -28.5141 0.887353
0.850222 -28.5139 0.887356
0.850225 -28.5137 0.887356
0.850228 -28.5134 0.887359
0.850231 -28.5132 0.887362
0.850234  -28.513 0.887365
0.850237 -28.5128 0.887368
 0.85024 -28.5125 0.887368
0.850243 -28.5123 0.887371
0.850246 -28.5121 0.887374
0.850249 -28.5119 0.887377
0.850252 -28.5116  0.88738
0.850255 -28.5114 0.887383
0.850258 -28.5112 0.887383
0.850261  -28.511 0.887386
0.850264 -28.5107 0.887389
0.850267 -28.5105 0.887392
 0.85027 -28.5103 0.887395
0.850273 -28.5101 0.887395
0.850276 -28.5098 0.887398
0.850279 -28.5096 0.887401
0.850282 -28.5094 0.887404
0.850285 -28.5091 0.887407
0.850288 -28.5089 0.887407
0.850291 -28.5087  0.88741
0.850294 -28.5085 0.887413
0.850297 -28.5082 0.887416
  0.8503  -28.508 0.887419
0.850303 -28.5078 0.887419
0.850306 -28.5076 0.887422
0.850309 -28.5073 0.887425
0.850312 -28.5071 0.887428
0.850315 -28.5069 0.887431
0.850318 -28.5067 0.887431
0.850321 -28.5064 0.887434
0.850324 -28.5062 0.887437
0.850327  -28.506  0.88744
 0.85033 -28.5058 0.887443
0.850333 -28.5055 0.887443
0.850336 -28.5053 0.887446
0.850339 -28.5051 0.887449
0.850342 -28.5049 0.887452
0.850345 -28.5046 0.887455
0.850348 -28.5044 0.887455
0.850351 -28.5042 0.887458
0.850354  -28.504 0.887461
0.850357 -28.5037 0.887464
 0.85036 -28.5035 0.887467
0.850363 -28.5033 0.887467
0.850366  -28.503  0.88747
0.850369 -28.5028 0.887473
0.850372 -28.5026 0.887476
0.850375 -28.5024 0.887479
0.850378 -28.5021 0.887479
0.850381 -28.5019 0.887482
0.850384 -28.5017 0.887485
0.850387 -28.5015 0.887488
 0.85039 -28.5012 0.887491
0.850393  -28.501 0.887491
0.850396 -28.5008 0.887494
0.850399 -28.5006 0.887497
0.850402 -28.5003   0.8875
0.850405 -28.5001 0.887503
0.850408 -28.4999 0.887503
0.850411 -28.4997 0.887506
0.850414 -28.4994 0.887509
0.850417 -28.4992 0.887512
 0.85042  -28.499 0.887515
0.850423 -28.4988 0.887515
0.850426 -28.4985 0.887518
0.850429 -28.4983 0.887521
0.850432 -28.4981 0.887524
0.850435 -28.4979 0.887527
0.850438 -28.4976  0.88753
0.850441 -28.4974  0.88753
0.850444 -28.4972 0.887533
0.850447 -28.4969 0.887536
 0.85045 -28.4967 0.887539
0.850453 -28.4965 0.887539
0.850456 -28.4963 0.887542
0.850459  -28.496 0.887545
0.850462 -28.4958 0.887548
0.850465 -28.4956 0.887551
0.850468 -28.4954 0.887554
0.850471 -28.4951 0.887554
0.850474 -28.4949 0.887557
0.850477 -28.4947  0.88756
 0.85048 -28.4945 0.887563
0.850483 -28.4942 0.887566
0.850486  -28.494 0.887566
0.850489 -28.4938 0.887569
0.850492 -28.4936 0.887572
0.850495 -28.4933 0.887575
0.850498 -28.4931 0.887578
0.850501 -28.4929 0.887578
0.850504 -28.4927 0.887581
0.850507 -28.4924 0.887584
 0.85051 -28.4922 0.887587
0.850513  -28.492  0.88759
0.850516 -28.4918  0.88759
0.850519 -28.4915 0.887593
0.850522 -28.4913 0.887596
0.850525 -28.4911 0.887599
0.850528 -28.4909 0.887602
0.850531 -28.4906 0.887602
0.850534 -28.4904 0.887605
0.850537 -28.4902 0.887608
 0.85054 -28.4899 0.887611
0.850543 -28.4897 0.887614
0.850546 -28.4895 0.887614
0.850549 -28.4893 0.887617
0.850552  -28.489  0.88762
0.850555 -28.4888 0.887623
0.850558 -28.4886 0.887626
0.850561 -28.4884 0.887626
0.850564 -28.4881 0.887629
0.850567 -28.4879 0.887632
 0.85057 -28.4877 0.887635
0.850573 -28.4875 0.887638
0.850576 -28.4872 0.887638
0.850579  -28.487 0.887641
0.850582 -28.4868 0.887644
0.850585 -28.4866 0.887647
0.850588 -28.4863  0.88765
0.850591 -28.4861  0.88765
0.850594 -28.4859 0.887653
0.850597 -28.4857 0.887656
  0.8506 -28.4854 0.887659
0.850603 -28.4852 0.887662
0.850606  -28.485 0.887662
0.850609 -28.4848 0.887665
0.850612 -28.4845 0.887668
0.850615 -28.4843 0.887671
0.850618 -28.4841 0.887674
0.850621 -28.4839 0.887677
