 kgrid  ValNew  Policy 
    0.85  -36.997        0
 0.85003 -36.9947        0
 0.85006 -36.9923        0
 0.85009   -36.99        0
 0.85012 -36.9876        0
 0.85015 -36.9853        0
 0.85018  -36.983        0
 0.85021 -36.9806        0
 0.85024 -36.9783        0
 0.85027 -36.9759        0
  0.8503 -36.9736        0
 0.85033 -36.9713        0
 0.85036 -36.9689        0
 0.85039 -36.9666        0
 0.85042 -36.9642        0
 0.85045 -36.9619        0
 0.85048 -36.9596        0
 0.85051 -36.9572        0
 0.85054 -36.9549        0
 0.85057 -36.9525        0
  0.8506 -36.9502        0
 0.85063 -36.9479        0
 0.85066 -36.9455        0
 0.85069 -36.9432        0
 0.85072 -36.9409        0
 0.85075 -36.9385        0
 0.85078 -36.9362        0
 0.85081 -36.9339        0
 0.85084 -36.9315        0
 0.85087 -36.9292        0
  0.8509 -36.9268        0
 0.85093 -36.9245        0
 0.85096 -36.9222        0
 0.85099 -36.9198        0
 0.85102 -36.9175        0
 0.85105 -36.9152        0
 0.85108 -36.9128        0
 0.85111 -36.9105        0
 0.85114 -36.9082        0
 0.85117 -36.9058        0
  0.8512 -36.9035        0
 0.85123 -36.9012        0
 0.85126 -36.8988        0
 0.85129 -36.8965        0
 0.85132 -36.8942        0
 0.85135 -36.8918        0
 0.85138 -36.8895        0
 0.85141 -36.8872        0
 0.85144 -36.8849        0
 0.85147 -36.8825        0
  0.8515 -36.8802        0
 0.85153 -36.8779        0
 0.85156 -36.8755        0
 0.85159 -36.8732        0
 0.85162 -36.8709        0
 0.85165 -36.8685        0
 0.85168 -36.8662        0
 0.85171 -36.8639        0
 0.85174 -36.8616        0
 0.85177 -36.8592        0
  0.8518 -36.8569        0
 0.85183 -36.8546        0
 0.85186 -36.8522        0
 0.85189 -36.8499        0
 0.85192 -36.8476        0
 0.85195 -36.8453        0
 0.85198 -36.8429        0
 0.85201 -36.8406        0
 0.85204 -36.8383        0
 0.85207  -36.836        0
  0.8521 -36.8336        0
 0.85213 -36.8313        0
 0.85216  -36.829        0
 0.85219 -36.8267        0
 0.85222 -36.8243        0
 0.85225  -36.822        0
 0.85228 -36.8197        0
 0.85231 -36.8174        0
 0.85234  -36.815        0
 0.85237 -36.8127        0
  0.8524 -36.8104        0
 0.85243 -36.8081        0
 0.85246 -36.8057        0
 0.85249 -36.8034        0
 0.85252 -36.8011        0
 0.85255 -36.7988        0
 0.85258 -36.7965        0
 0.85261 -36.7941        0
 0.85264 -36.7918        0
 0.85267 -36.7895        0
  0.8527 -36.7872        0
 0.85273 -36.7849        0
 0.85276 -36.7825        0
 0.85279 -36.7802        0
 0.85282 -36.7779        0
 0.85285 -36.7756        0
 0.85288 -36.7733        0
 0.85291 -36.7709        0
 0.85294 -36.7686        0
 0.85297 -36.7663        0
   0.853  -36.764        0
 0.85303 -36.7617        0
 0.85306 -36.7593        0
 0.85309  -36.757        0
 0.85312 -36.7547        0
 0.85315 -36.7524        0
 0.85318 -36.7501        0
