 kgrid  ValNew  Policy 
    0.85 -34.4842  0.87355
0.850003 -34.4839 0.873553
0.850006 -34.4837 0.873556
0.850009 -34.4834 0.873559
0.850012 -34.4832 0.873559
0.850015  -34.483 0.873562
0.850018 -34.4827 0.873565
0.850021 -34.4825 0.873565
0.850024 -34.4822 0.873568
0.850027  -34.482 0.873571
 0.85003 -34.4817 0.873574
0.850033 -34.4815 0.873574
0.850036 -34.4812 0.873577
0.850039  -34.481  0.87358
0.850042 -34.4807 0.873583
0.850045 -34.4805 0.873583
0.850048 -34.4802 0.873586
0.850051   -34.48 0.873589
0.850054 -34.4798 0.873589
0.850057 -34.4795 0.873592
 0.85006 -34.4793 0.873595
0.850063  -34.479 0.873598
0.850066 -34.4788 0.873598
0.850069 -34.4785 0.873601
0.850072 -34.4783 0.873604
0.850075  -34.478 0.873607
0.850078 -34.4778 0.873607
0.850081 -34.4775  0.87361
0.850084 -34.4773 0.873613
0.850087  -34.477 0.873613
 0.85009 -34.4768 0.873616
0.850093 -34.4766 0.873619
0.850096 -34.4763 0.873622
0.850099 -34.4761 0.873622
0.850102 -34.4758 0.873625
0.850105 -34.4756 0.873628
0.850108 -34.4753 0.873631
0.850111 -34.4751 0.873631
0.850114 -34.4748 0.873634
0.850117 -34.4746 0.873637
 0.85012 -34.4743  0.87364
0.850123 -34.4741  0.87364
0.850126 -34.4738 0.873643
0.850129 -34.4736 0.873646
0.850132 -34.4734 0.873646
0.850135 -34.4731 0.873649
0.850138 -34.4729 0.873652
0.850141 -34.4726 0.873655
0.850144 -34.4724 0.873655
0.850147 -34.4721 0.873658
 0.85015 -34.4719 0.873661
0.850153 -34.4716 0.873664
0.850156 -34.4714 0.873664
0.850159 -34.4711 0.873667
0.850162 -34.4709  0.87367
0.850165 -34.4706  0.87367
0.850168 -34.4704 0.873673
0.850171 -34.4702 0.873676
0.850174 -34.4699 0.873679
0.850177 -34.4697 0.873679
 0.85018 -34.4694 0.873682
0.850183 -34.4692 0.873685
0.850186 -34.4689 0.873688
0.850189 -34.4687 0.873688
0.850192 -34.4684 0.873691
0.850195 -34.4682 0.873694
0.850198 -34.4679 0.873697
0.850201 -34.4677 0.873697
0.850204 -34.4674   0.8737
0.850207 -34.4672 0.873703
 0.85021  -34.467 0.873703
0.850213 -34.4667 0.873706
0.850216 -34.4665 0.873709
0.850219 -34.4662 0.873712
0.850222  -34.466 0.873712
0.850225 -34.4657 0.873715
0.850228 -34.4655 0.873718
0.850231 -34.4652 0.873721
0.850234  -34.465 0.873721
0.850237 -34.4647 0.873724
 0.85024 -34.4645 0.873727
0.850243 -34.4643 0.873727
0.850246  -34.464  0.87373
0.850249 -34.4638 0.873733
0.850252 -34.4635 0.873736
0.850255 -34.4633 0.873736
0.850258  -34.463 0.873739
0.850261 -34.4628 0.873742
0.850264 -34.4625 0.873745
0.850267 -34.4623 0.873745
 0.85027  -34.462 0.873748
0.850273 -34.4618 0.873751
0.850276 -34.4615 0.873754
0.850279 -34.4613 0.873754
0.850282 -34.4611 0.873757
0.850285 -34.4608  0.87376
0.850288 -34.4606  0.87376
0.850291 -34.4603 0.873763
0.850294 -34.4601 0.873766
0.850297 -34.4598 0.873769
  0.8503 -34.4596 0.873769
0.850303 -34.4593 0.873772
0.850306 -34.4591 0.873775
0.850309 -34.4588 0.873778
0.850312 -34.4586 0.873778
0.850315 -34.4583 0.873781
0.850318 -34.4581 0.873784
0.850321 -34.4579 0.873784
0.850324 -34.4576 0.873787
0.850327 -34.4574  0.87379
 0.85033 -34.4571 0.873793
0.850333 -34.4569 0.873793
0.850336 -34.4566 0.873796
0.850339 -34.4564 0.873799
0.850342 -34.4561 0.873802
0.850345 -34.4559 0.873802
0.850348 -34.4556 0.873805
0.850351 -34.4554 0.873808
0.850354 -34.4552 0.873808
0.850357 -34.4549 0.873811
 0.85036 -34.4547 0.873814
0.850363 -34.4544 0.873817
0.850366 -34.4542 0.873817
0.850369 -34.4539  0.87382
0.850372 -34.4537 0.873823
0.850375 -34.4534 0.873826
0.850378 -34.4532 0.873826
0.850381 -34.4529 0.873829
0.850384 -34.4527 0.873832
0.850387 -34.4525 0.873835
 0.85039 -34.4522 0.873835
0.850393  -34.452 0.873838
0.850396 -34.4517 0.873841
