 kgrid  ValNew  Policy 
    0.85  -30.583     0.85
0.850003 -30.5826     0.85
0.850006 -30.5822     0.85
0.850009 -30.5818     0.85
0.850012 -30.5814     0.85
0.850015  -30.581     0.85
0.850018 -30.5806     0.85
0.850021 -30.5802     0.85
0.850024 -30.5798     0.85
0.850027 -30.5794     0.85
 0.85003  -30.579     0.85
0.850033 -30.5786     0.85
0.850036 -30.5782     0.85
0.850039 -30.5778     0.85
0.850042 -30.5774     0.85
0.850045  -30.577     0.85
0.850048 -30.5766     0.85
0.850051 -30.5762     0.85
0.850054 -30.5758     0.85
0.850057 -30.5754     0.85
 0.85006  -30.575     0.85
0.850063 -30.5746     0.85
0.850066 -30.5742     0.85
0.850069 -30.5738     0.85
0.850072 -30.5734     0.85
0.850075  -30.573     0.85
0.850078 -30.5726     0.85
0.850081 -30.5722     0.85
0.850084 -30.5718     0.85
0.850087 -30.5714     0.85
 0.85009  -30.571     0.85
0.850093 -30.5706     0.85
0.850096 -30.5702     0.85
0.850099 -30.5698     0.85
0.850102 -30.5694     0.85
0.850105  -30.569     0.85
0.850108 -30.5686     0.85
0.850111 -30.5682     0.85
0.850114 -30.5678     0.85
0.850117 -30.5674     0.85
 0.85012  -30.567     0.85
0.850123 -30.5666     0.85
0.850126 -30.5662     0.85
0.850129 -30.5658     0.85
0.850132 -30.5654     0.85
0.850135 -30.5651     0.85
0.850138 -30.5647     0.85
0.850141 -30.5643     0.85
0.850144 -30.5639     0.85
0.850147 -30.5635     0.85
 0.85015 -30.5631     0.85
0.850153 -30.5627     0.85
0.850156 -30.5623     0.85
0.850159 -30.5619     0.85
0.850162 -30.5615     0.85
0.850165 -30.5611     0.85
0.850168 -30.5607     0.85
0.850171 -30.5603     0.85
0.850174 -30.5599     0.85
0.850177 -30.5595     0.85
 0.85018 -30.5591     0.85
0.850183 -30.5587     0.85
0.850186 -30.5583     0.85
0.850189 -30.5579     0.85
0.850192 -30.5575     0.85
0.850195 -30.5571     0.85
0.850198 -30.5567     0.85
0.850201 -30.5563     0.85
0.850204 -30.5559     0.85
0.850207 -30.5555     0.85
 0.85021 -30.5551     0.85
0.850213 -30.5547     0.85
0.850216 -30.5543     0.85
0.850219 -30.5539     0.85
0.850222 -30.5535     0.85
0.850225 -30.5531     0.85
0.850228 -30.5527     0.85
0.850231 -30.5523     0.85
0.850234 -30.5519     0.85
0.850237 -30.5515     0.85
 0.85024 -30.5511     0.85
0.850243 -30.5507     0.85
0.850246 -30.5503     0.85
0.850249 -30.5499     0.85
0.850252 -30.5495     0.85
0.850255 -30.5491     0.85
0.850258 -30.5487     0.85
0.850261 -30.5483     0.85
0.850264 -30.5479     0.85
0.850267 -30.5475     0.85
 0.85027 -30.5471     0.85
0.850273 -30.5467     0.85
0.850276 -30.5463     0.85
0.850279 -30.5459     0.85
0.850282 -30.5455     0.85
0.850285 -30.5451     0.85
0.850288 -30.5447     0.85
0.850291 -30.5443     0.85
0.850294 -30.5439     0.85
0.850297 -30.5435     0.85
  0.8503 -30.5431     0.85
0.850303 -30.5427     0.85
0.850306 -30.5424     0.85
0.850309  -30.542     0.85
0.850312 -30.5416     0.85
0.850315 -30.5412     0.85
0.850318 -30.5408     0.85
0.850321 -30.5404     0.85
0.850324   -30.54     0.85
0.850327 -30.5396     0.85
 0.85033 -30.5392     0.85
0.850333 -30.5388     0.85
0.850336 -30.5384     0.85
0.850339  -30.538     0.85
0.850342 -30.5376     0.85
0.850345 -30.5372     0.85
0.850348 -30.5368     0.85
0.850351 -30.5364     0.85
0.850354  -30.536     0.85
0.850357 -30.5356     0.85
 0.85036 -30.5352     0.85
0.850363 -30.5348     0.85
0.850366 -30.5344     0.85
0.850369  -30.534     0.85
0.850372 -30.5336     0.85
0.850375 -30.5332     0.85
0.850378 -30.5328     0.85
0.850381 -30.5324     0.85
0.850384  -30.532     0.85
0.850387 -30.5316     0.85
 0.85039 -30.5312     0.85
0.850393 -30.5308     0.85
0.850396 -30.5304     0.85
0.850399   -30.53     0.85
0.850402 -30.5296     0.85
0.850405 -30.5292     0.85
0.850408 -30.5288     0.85
0.850411 -30.5284     0.85
0.850414  -30.528     0.85
0.850417 -30.5276     0.85
 0.85042 -30.5273     0.85
0.850423 -30.5269     0.85
0.850426 -30.5265     0.85
0.850429 -30.5261     0.85
0.850432 -30.5257     0.85
0.850435 -30.5253     0.85
0.850438 -30.5249     0.85
0.850441 -30.5245     0.85
0.850444 -30.5241     0.85
0.850447 -30.5237     0.85
