 kgrid  ValNew  Policy 
    0.85 -32.9908 0.888901
0.850003 -32.9905 0.888904
0.850006 -32.9903 0.888904
0.850009 -32.9901 0.888907
0.850012 -32.9898  0.88891
0.850015 -32.9896 0.888913
0.850018 -32.9894 0.888916
0.850021 -32.9892 0.888919
0.850024 -32.9889 0.888919
0.850027 -32.9887 0.888922
 0.85003 -32.9885 0.888925
0.850033 -32.9882 0.888928
0.850036  -32.988 0.888931
0.850039 -32.9878 0.888931
0.850042 -32.9875 0.888934
0.850045 -32.9873 0.888937
0.850048 -32.9871  0.88894
0.850051 -32.9868 0.888943
0.850054 -32.9866 0.888946
0.850057 -32.9864 0.888949
 0.85006 -32.9861 0.888949
0.850063 -32.9859 0.888952
0.850066 -32.9857 0.888955
0.850069 -32.9855 0.888958
0.850072 -32.9852 0.888961
0.850075  -32.985 0.888961
0.850078 -32.9848 0.888964
0.850081 -32.9845 0.888967
0.850084 -32.9843  0.88897
0.850087 -32.9841 0.888973
 0.85009 -32.9838 0.888976
0.850093 -32.9836 0.888976
0.850096 -32.9834 0.888979
0.850099 -32.9831 0.888982
0.850102 -32.9829 0.888985
0.850105 -32.9827 0.888988
0.850108 -32.9825 0.888991
0.850111 -32.9822 0.888991
0.850114  -32.982 0.888994
0.850117 -32.9818 0.888997
 0.85012 -32.9815    0.889
0.850123 -32.9813 0.889003
0.850126 -32.9811 0.889006
0.850129 -32.9808 0.889006
0.850132 -32.9806 0.889009
0.850135 -32.9804 0.889012
0.850138 -32.9802 0.889015
0.850141 -32.9799 0.889018
0.850144 -32.9797 0.889018
0.850147 -32.9795 0.889021
 0.85015 -32.9792 0.889024
0.850153  -32.979 0.889027
0.850156 -32.9788  0.88903
0.850159 -32.9785 0.889033
0.850162 -32.9783 0.889036
0.850165 -32.9781 0.889036
0.850168 -32.9778 0.889039
0.850171 -32.9776 0.889042
0.850174 -32.9774 0.889045
0.850177 -32.9772 0.889048
 0.85018 -32.9769 0.889048
0.850183 -32.9767 0.889051
0.850186 -32.9765 0.889054
0.850189 -32.9762 0.889057
0.850192  -32.976  0.88906
0.850195 -32.9758 0.889063
0.850198 -32.9755 0.889063
0.850201 -32.9753 0.889066
0.850204 -32.9751 0.889069
0.850207 -32.9748 0.889072
 0.85021 -32.9746 0.889075
0.850213 -32.9744 0.889078
0.850216 -32.9742 0.889078
0.850219 -32.9739 0.889081
0.850222 -32.9737 0.889084
0.850225 -32.9735 0.889087
0.850228 -32.9732  0.88909
0.850231  -32.973 0.889093
0.850234 -32.9728 0.889093
0.850237 -32.9725 0.889096
 0.85024 -32.9723 0.889099
0.850243 -32.9721 0.889102
0.850246 -32.9718 0.889105
0.850249 -32.9716 0.889108
0.850252 -32.9714 0.889108
0.850255 -32.9712 0.889111
0.850258 -32.9709 0.889114
0.850261 -32.9707 0.889117
0.850264 -32.9705  0.88912
0.850267 -32.9702 0.889123
 0.85027   -32.97 0.889123
0.850273 -32.9698 0.889126
0.850276 -32.9695 0.889129
0.850279 -32.9693 0.889132
0.850282 -32.9691 0.889135
0.850285 -32.9688 0.889138
0.850288 -32.9686 0.889138
0.850291 -32.9684 0.889141
0.850294 -32.9682 0.889144
0.850297 -32.9679 0.889147
  0.8503 -32.9677  0.88915
0.850303 -32.9675 0.889153
0.850306 -32.9672 0.889153
0.850309  -32.967 0.889156
0.850312 -32.9668 0.889159
0.850315 -32.9665 0.889162
0.850318 -32.9663 0.889165
0.850321 -32.9661 0.889168
0.850324 -32.9659 0.889168
0.850327 -32.9656 0.889171
 0.85033 -32.9654 0.889174
0.850333 -32.9652 0.889177
0.850336 -32.9649  0.88918
0.850339 -32.9647  0.88918
0.850342 -32.9645 0.889183
0.850345 -32.9642 0.889186
0.850348  -32.964 0.889189
0.850351 -32.9638 0.889192
0.850354 -32.9635 0.889195
0.850357 -32.9633 0.889195
 0.85036 -32.9631 0.889198
0.850363 -32.9629 0.889201
0.850366 -32.9626 0.889204
0.850369 -32.9624 0.889207
0.850372 -32.9622  0.88921
0.850375 -32.9619  0.88921
0.850378 -32.9617 0.889213
0.850381 -32.9615 0.889216
0.850384 -32.9612 0.889219
0.850387  -32.961 0.889222
 0.85039 -32.9608 0.889225
0.850393 -32.9605 0.889225
0.850396 -32.9603 0.889228
0.850399 -32.9601 0.889231
0.850402 -32.9599 0.889234
0.850405 -32.9596 0.889237
0.850408 -32.9594  0.88924
0.850411 -32.9592  0.88924
0.850414 -32.9589 0.889243
0.850417 -32.9587 0.889246
 0.85042 -32.9585 0.889249
0.850423 -32.9582 0.889252
0.850426  -32.958 0.889255
0.850429 -32.9578 0.889255
0.850432 -32.9576 0.889258
0.850435 -32.9573 0.889261
0.850438 -32.9571 0.889264
0.850441 -32.9569 0.889267
0.850444 -32.9566  0.88927
0.850447 -32.9564  0.88927
 0.85045 -32.9562 0.889273
0.850453 -32.9559 0.889276
0.850456 -32.9557 0.889279
0.850459 -32.9555 0.889282
0.850462 -32.9552 0.889285
0.850465  -32.955 0.889285
0.850468 -32.9548 0.889288
0.850471 -32.9546 0.889291
0.850474 -32.9543 0.889294
0.850477 -32.9541 0.889297
 0.85048 -32.9539   0.8893
0.850483 -32.9536   0.8893
0.850486 -32.9534 0.889303
0.850489 -32.9532 0.889306
0.850492 -32.9529 0.889309
0.850495 -32.9527 0.889312
0.850498 -32.9525 0.889315
0.850501 -32.9523 0.889315
0.850504  -32.952 0.889318
0.850507 -32.9518 0.889321
 0.85051 -32.9516 0.889324
0.850513 -32.9513 0.889327
0.850516 -32.9511  0.88933
0.850519 -32.9509  0.88933
0.850522 -32.9506 0.889333
0.850525 -32.9504 0.889336
0.850528 -32.9502 0.889339
0.850531 -32.9499 0.889342
0.850534 -32.9497 0.889345
0.850537 -32.9495 0.889345
 0.85054 -32.9493 0.889348
0.850543  -32.949 0.889351
0.850546 -32.9488 0.889354
0.850549 -32.9486 0.889357
0.850552 -32.9483 0.889357
0.850555 -32.9481  0.88936
0.850558 -32.9479 0.889363
0.850561 -32.9476 0.889366
0.850564 -32.9474 0.889369
0.850567 -32.9472 0.889372
 0.85057  -32.947 0.889372
0.850573 -32.9467 0.889375
0.850576 -32.9465 0.889378
0.850579 -32.9463 0.889381
0.850582  -32.946 0.889384
0.850585 -32.9458 0.889387
0.850588 -32.9456 0.889387
0.850591 -32.9453  0.88939
0.850594 -32.9451 0.889393
0.850597 -32.9449 0.889396
  0.8506 -32.9446 0.889399
0.850603 -32.9444 0.889402
0.850606 -32.9442 0.889402
0.850609  -32.944 0.889405
0.850612 -32.9437 0.889408
0.850615 -32.9435 0.889411
0.850618 -32.9433 0.889414
0.850621  -32.943 0.889417
0.850624 -32.9428 0.889417
0.850627 -32.9426  0.88942
 0.85063 -32.9423 0.889423
0.850633 -32.9421 0.889426
0.850636 -32.9419 0.889429
0.850639 -32.9417 0.889432
0.850642 -32.9414 0.889432
0.850645 -32.9412 0.889435
0.850648  -32.941 0.889438
0.850651 -32.9407 0.889441
0.850654 -32.9405 0.889444
0.850657 -32.9403 0.889447
 0.85066   -32.94 0.889447
0.850663 -32.9398  0.88945
0.850666 -32.9396 0.889453
0.850669 -32.9394 0.889456
0.850672 -32.9391 0.889459
0.850675 -32.9389 0.889462
0.850678 -32.9387 0.889462
0.850681 -32.9384 0.889465
0.850684 -32.9382 0.889468
0.850687  -32.938 0.889471
 0.85069 -32.9377 0.889474
0.850693 -32.9375 0.889477
0.850696 -32.9373 0.889477
0.850699  -32.937  0.88948
0.850702 -32.9368 0.889483
0.850705 -32.9366 0.889486
0.850708 -32.9364 0.889489
0.850711 -32.9361 0.889492
0.850714 -32.9359 0.889492
0.850717 -32.9357 0.889495
 0.85072 -32.9354 0.889498
0.850723 -32.9352 0.889501
0.850726  -32.935 0.889504
0.850729 -32.9347 0.889507
0.850732 -32.9345 0.889507
0.850735 -32.9343  0.88951
0.850738 -32.9341 0.889513
0.850741 -32.9338 0.889516
0.850744 -32.9336 0.889519
0.850747 -32.9334 0.889519
 0.85075 -32.9331 0.889522
0.850753 -32.9329 0.889525
0.850756 -32.9327 0.889528
0.850759 -32.9324 0.889531
0.850762 -32.9322 0.889534
0.850765  -32.932 0.889534
0.850768 -32.9318 0.889537
0.850771 -32.9315  0.88954
0.850774 -32.9313 0.889543
0.850777 -32.9311 0.889546
 0.85078 -32.9308 0.889549
0.850783 -32.9306 0.889549
0.850786 -32.9304 0.889552
0.850789 -32.9301 0.889555
0.850792 -32.9299 0.889558
0.850795 -32.9297 0.889561
0.850798 -32.9295 0.889564
0.850801 -32.9292 0.889564
0.850804  -32.929 0.889567
0.850807 -32.9288  0.88957
 0.85081 -32.9285 0.889573
0.850813 -32.9283 0.889576
0.850816 -32.9281 0.889579
0.850819 -32.9278 0.889579
0.850822 -32.9276 0.889582
0.850825 -32.9274 0.889585
0.850828 -32.9272 0.889588
0.850831 -32.9269 0.889591
0.850834 -32.9267 0.889594
0.850837 -32.9265 0.889594
 0.85084 -32.9262 0.889597
0.850843  -32.926   0.8896
0.850846 -32.9258 0.889603
0.850849 -32.9255 0.889606
0.850852 -32.9253 0.889609
