 kgrid  ValNew  Policy 
    0.85 -35.6218     0.85
0.850003 -35.6214     0.85
0.850006  -35.621     0.85
0.850009 -35.6206     0.85
0.850012 -35.6202     0.85
0.850015 -35.6198     0.85
0.850018 -35.6194     0.85
0.850021  -35.619     0.85
0.850024 -35.6186     0.85
0.850027 -35.6182     0.85
 0.85003 -35.6178     0.85
0.850033 -35.6174     0.85
0.850036  -35.617     0.85
0.850039 -35.6166     0.85
0.850042 -35.6162     0.85
0.850045 -35.6158     0.85
0.850048 -35.6154     0.85
0.850051  -35.615     0.85
0.850054 -35.6146     0.85
0.850057 -35.6142     0.85
 0.85006 -35.6138     0.85
0.850063 -35.6134     0.85
0.850066 -35.6131     0.85
0.850069 -35.6127     0.85
0.850072 -35.6123     0.85
0.850075 -35.6119     0.85
0.850078 -35.6115     0.85
0.850081 -35.6111     0.85
0.850084 -35.6107     0.85
0.850087 -35.6103     0.85
 0.85009 -35.6099     0.85
0.850093 -35.6095     0.85
0.850096 -35.6091     0.85
0.850099 -35.6087     0.85
0.850102 -35.6083     0.85
0.850105 -35.6079     0.85
0.850108 -35.6075     0.85
0.850111 -35.6071     0.85
0.850114 -35.6067     0.85
0.850117 -35.6063     0.85
 0.85012 -35.6059     0.85
0.850123 -35.6055     0.85
0.850126 -35.6051     0.85
0.850129 -35.6047     0.85
0.850132 -35.6043     0.85
0.850135 -35.6039     0.85
0.850138 -35.6035     0.85
0.850141 -35.6031     0.85
0.850144 -35.6027     0.85
0.850147 -35.6023     0.85
 0.85015 -35.6019     0.85
0.850153 -35.6015     0.85
0.850156 -35.6011     0.85
0.850159 -35.6007     0.85
0.850162 -35.6003     0.85
0.850165 -35.5999     0.85
0.850168 -35.5995     0.85
0.850171 -35.5991     0.85
0.850174 -35.5987     0.85
0.850177 -35.5983     0.85
 0.85018 -35.5979     0.85
0.850183 -35.5975     0.85
0.850186 -35.5971     0.85
0.850189 -35.5967     0.85
0.850192 -35.5963     0.85
0.850195 -35.5959     0.85
0.850198 -35.5955     0.85
0.850201 -35.5951     0.85
0.850204 -35.5947     0.85
0.850207 -35.5943     0.85
 0.85021 -35.5939     0.85
0.850213 -35.5935     0.85
0.850216 -35.5931     0.85
0.850219 -35.5927     0.85
0.850222 -35.5923     0.85
0.850225 -35.5919     0.85
0.850228 -35.5915     0.85
0.850231 -35.5911     0.85
0.850234 -35.5907     0.85
0.850237 -35.5903     0.85
 0.85024 -35.5899     0.85
0.850243 -35.5895     0.85
0.850246 -35.5891     0.85
0.850249 -35.5887     0.85
0.850252 -35.5883     0.85
0.850255 -35.5879     0.85
0.850258 -35.5875     0.85
0.850261 -35.5871     0.85
0.850264 -35.5867     0.85
0.850267 -35.5863     0.85
 0.85027  -35.586     0.85
0.850273 -35.5856     0.85
0.850276 -35.5852     0.85
0.850279 -35.5848     0.85
0.850282 -35.5844     0.85
0.850285  -35.584     0.85
0.850288 -35.5836     0.85
0.850291 -35.5832     0.85
0.850294 -35.5828     0.85
0.850297 -35.5824     0.85
  0.8503  -35.582     0.85
0.850303 -35.5816     0.85
0.850306 -35.5812     0.85
0.850309 -35.5808     0.85
