 kgrid  ValNew  Policy 
    0.85 -45.5738        0
 0.85003 -45.5708        0
 0.85006 -45.5677        0
 0.85009 -45.5646        0
 0.85012 -45.5616        0
 0.85015 -45.5585        0
 0.85018 -45.5555        0
 0.85021 -45.5524        0
 0.85024 -45.5493        0
 0.85027 -45.5463        0
  0.8503 -45.5432        0
 0.85033 -45.5402        0
 0.85036 -45.5371        0
 0.85039 -45.5341        0
 0.85042  -45.531        0
 0.85045  -45.528        0
 0.85048 -45.5249        0
 0.85051 -45.5219        0
 0.85054 -45.5188        0
 0.85057 -45.5158        0
  0.8506 -45.5128        0
 0.85063 -45.5097        0
 0.85066 -45.5067        0
 0.85069 -45.5036        0
 0.85072 -45.5006        0
 0.85075 -45.4976        0
 0.85078 -45.4945        0
 0.85081 -45.4915        0
 0.85084 -45.4885        0
 0.85087 -45.4854        0
  0.8509 -45.4824        0
 0.85093 -45.4794        0
 0.85096 -45.4764        0
 0.85099 -45.4733        0
 0.85102 -45.4703        0
 0.85105 -45.4673        0
 0.85108 -45.4643        0
 0.85111 -45.4613        0
 0.85114 -45.4582        0
 0.85117 -45.4552        0
  0.8512 -45.4522        0
 0.85123 -45.4492        0
 0.85126 -45.4462        0
 0.85129 -45.4432        0
 0.85132 -45.4401        0
 0.85135 -45.4371        0
 0.85138 -45.4341        0
 0.85141 -45.4311        0
 0.85144 -45.4281        0
 0.85147 -45.4251        0
  0.8515 -45.4221        0
 0.85153 -45.4191        0
 0.85156 -45.4161        0
 0.85159 -45.4131        0
 0.85162 -45.4101        0
 0.85165 -45.4071        0
 0.85168 -45.4041        0
 0.85171 -45.4011        0
 0.85174 -45.3981        0
 0.85177 -45.3951        0
  0.8518 -45.3921        0
 0.85183 -45.3891        0
 0.85186 -45.3862        0
 0.85189 -45.3832        0
 0.85192 -45.3802        0
 0.85195 -45.3772        0
 0.85198 -45.3742        0
 0.85201 -45.3712        0
 0.85204 -45.3683        0
 0.85207 -45.3653        0
  0.8521 -45.3623        0
 0.85213 -45.3593        0
 0.85216 -45.3563        0
 0.85219 -45.3534        0
 0.85222 -45.3504        0
 0.85225 -45.3474        0
 0.85228 -45.3444        0
 0.85231 -45.3415        0
 0.85234 -45.3385        0
 0.85237 -45.3355        0
  0.8524 -45.3326        0
 0.85243 -45.3296        0
 0.85246 -45.3266        0
 0.85249 -45.3237        0
 0.85252 -45.3207        0
 0.85255 -45.3178        0
 0.85258 -45.3148        0
 0.85261 -45.3118        0
 0.85264 -45.3089        0
 0.85267 -45.3059        0
  0.8527  -45.303        0
 0.85273    -45.3        0
 0.85276 -45.2971        0
 0.85279 -45.2941        0
 0.85282 -45.2912        0
 0.85285 -45.2882        0
 0.85288 -45.2853        0
 0.85291 -45.2823        0
 0.85294 -45.2794        0
 0.85297 -45.2764        0
   0.853 -45.2735        0
 0.85303 -45.2706        0
 0.85306 -45.2676        0
 0.85309 -45.2647        0
