 kgrid  ValNew  Policy 
    0.85 -29.9987 0.872503
0.850003 -29.9984 0.872506
0.850006 -29.9982 0.872506
0.850009 -29.9979 0.872509
0.850012 -29.9977 0.872512
0.850015 -29.9974 0.872515
0.850018 -29.9972 0.872515
0.850021  -29.997 0.872518
0.850024 -29.9967 0.872521
0.850027 -29.9965 0.872521
 0.85003 -29.9962 0.872524
0.850033  -29.996 0.872527
0.850036 -29.9957  0.87253
0.850039 -29.9955  0.87253
0.850042 -29.9953 0.872533
0.850045  -29.995 0.872536
0.850048 -29.9948 0.872536
0.850051 -29.9945 0.872539
0.850054 -29.9943 0.872542
0.850057  -29.994 0.872545
 0.85006 -29.9938 0.872545
0.850063 -29.9936 0.872548
0.850066 -29.9933 0.872551
0.850069 -29.9931 0.872551
0.850072 -29.9928 0.872554
0.850075 -29.9926 0.872557
0.850078 -29.9923 0.872557
0.850081 -29.9921  0.87256
0.850084 -29.9918 0.872563
0.850087 -29.9916 0.872566
 0.85009 -29.9914 0.872566
0.850093 -29.9911 0.872569
0.850096 -29.9909 0.872572
0.850099 -29.9906 0.872572
0.850102 -29.9904 0.872575
0.850105 -29.9901 0.872578
0.850108 -29.9899 0.872581
0.850111 -29.9897 0.872581
0.850114 -29.9894 0.872584
0.850117 -29.9892 0.872587
 0.85012 -29.9889 0.872587
0.850123 -29.9887  0.87259
0.850126 -29.9884 0.872593
0.850129 -29.9882 0.872596
0.850132  -29.988 0.872596
0.850135 -29.9877 0.872599
0.850138 -29.9875 0.872602
0.850141 -29.9872 0.872602
0.850144  -29.987 0.872605
0.850147 -29.9867 0.872608
 0.85015 -29.9865 0.872611
0.850153 -29.9863 0.872611
0.850156  -29.986 0.872614
0.850159 -29.9858 0.872617
0.850162 -29.9855 0.872617
0.850165 -29.9853  0.87262
0.850168  -29.985 0.872623
0.850171 -29.9848 0.872623
0.850174 -29.9846 0.872626
0.850177 -29.9843 0.872629
 0.85018 -29.9841 0.872632
0.850183 -29.9838 0.872632
0.850186 -29.9836 0.872635
0.850189 -29.9833 0.872638
0.850192 -29.9831 0.872638
0.850195 -29.9829 0.872641
0.850198 -29.9826 0.872644
0.850201 -29.9824 0.872647
0.850204 -29.9821 0.872647
0.850207 -29.9819  0.87265
 0.85021 -29.9816 0.872653
0.850213 -29.9814 0.872653
0.850216 -29.9812 0.872656
0.850219 -29.9809 0.872659
0.850222 -29.9807 0.872662
0.850225 -29.9804 0.872662
0.850228 -29.9802 0.872665
0.850231 -29.9799 0.872668
0.850234 -29.9797 0.872668
0.850237 -29.9795 0.872671
 0.85024 -29.9792 0.872674
0.850243  -29.979 0.872677
0.850246 -29.9787 0.872677
0.850249 -29.9785  0.87268
0.850252 -29.9782 0.872683
0.850255  -29.978 0.872683
0.850258 -29.9778 0.872686
0.850261 -29.9775 0.872689
0.850264 -29.9773 0.872689
0.850267  -29.977 0.872692
 0.85027 -29.9768 0.872695
0.850273 -29.9765 0.872698
0.850276 -29.9763 0.872698
0.850279 -29.9761 0.872701
0.850282 -29.9758 0.872704
0.850285 -29.9756 0.872704
0.850288 -29.9753 0.872707
0.850291 -29.9751  0.87271
0.850294 -29.9748 0.872713
0.850297 -29.9746 0.872713
  0.8503 -29.9744 0.872716
0.850303 -29.9741 0.872719
0.850306 -29.9739 0.872719
0.850309 -29.9736 0.872722
0.850312 -29.9734 0.872725
0.850315 -29.9731 0.872728
0.850318 -29.9729 0.872728
0.850321 -29.9727 0.872731
0.850324 -29.9724 0.872734
0.850327 -29.9722 0.872734
 0.85033 -29.9719 0.872737
0.850333 -29.9717  0.87274
0.850336 -29.9714 0.872743
0.850339 -29.9712 0.872743
0.850342  -29.971 0.872746
