 kgrid  ValNew  Policy 
    0.85 -28.3486     0.85
0.850003 -28.3483     0.85
0.850006  -28.348     0.85
0.850009 -28.3477     0.85
0.850012 -28.3474     0.85
0.850015 -28.3471     0.85
0.850018 -28.3468     0.85
0.850021 -28.3465     0.85
0.850024 -28.3462     0.85
0.850027 -28.3459     0.85
 0.85003 -28.3456     0.85
0.850033 -28.3452     0.85
0.850036 -28.3449     0.85
0.850039 -28.3446     0.85
0.850042 -28.3443     0.85
0.850045  -28.344     0.85
0.850048 -28.3437     0.85
0.850051 -28.3434     0.85
0.850054 -28.3431     0.85
0.850057 -28.3428     0.85
 0.85006 -28.3425     0.85
0.850063 -28.3422     0.85
0.850066 -28.3419     0.85
0.850069 -28.3416     0.85
0.850072 -28.3413     0.85
0.850075  -28.341     0.85
0.850078 -28.3407     0.85
0.850081 -28.3403     0.85
0.850084   -28.34     0.85
0.850087 -28.3397     0.85
 0.85009 -28.3394     0.85
0.850093 -28.3391     0.85
0.850096 -28.3388     0.85
0.850099 -28.3385     0.85
0.850102 -28.3382     0.85
0.850105 -28.3379     0.85
0.850108 -28.3376     0.85
0.850111 -28.3373     0.85
0.850114  -28.337     0.85
0.850117 -28.3367     0.85
 0.85012 -28.3364     0.85
0.850123 -28.3361     0.85
0.850126 -28.3358     0.85
0.850129 -28.3354     0.85
0.850132 -28.3351     0.85
0.850135 -28.3348     0.85
0.850138 -28.3345     0.85
0.850141 -28.3342     0.85
0.850144 -28.3339     0.85
0.850147 -28.3336     0.85
 0.85015 -28.3333     0.85
0.850153  -28.333     0.85
0.850156 -28.3327     0.85
0.850159 -28.3324     0.85
0.850162 -28.3321     0.85
0.850165 -28.3318     0.85
0.850168 -28.3315     0.85
0.850171 -28.3312     0.85
0.850174 -28.3309     0.85
0.850177 -28.3306     0.85
 0.85018 -28.3302     0.85
0.850183 -28.3299     0.85
0.850186 -28.3296     0.85
0.850189 -28.3293     0.85
0.850192  -28.329     0.85
0.850195 -28.3287     0.85
0.850198 -28.3284     0.85
0.850201 -28.3281     0.85
0.850204 -28.3278     0.85
0.850207 -28.3275     0.85
 0.85021 -28.3272     0.85
0.850213 -28.3269     0.85
0.850216 -28.3266     0.85
0.850219 -28.3263     0.85
