 kgrid  ValNew  Policy 
    0.85 -33.3874     0.85
0.850003 -33.3871     0.85
0.850006 -33.3868     0.85
0.850009 -33.3865     0.85
0.850012 -33.3862     0.85
0.850015 -33.3859     0.85
0.850018 -33.3856     0.85
0.850021 -33.3853     0.85
0.850024  -33.385     0.85
0.850027 -33.3847     0.85
 0.85003 -33.3844     0.85
0.850033 -33.3841     0.85
0.850036 -33.3838     0.85
0.850039 -33.3835     0.85
0.850042 -33.3832     0.85
0.850045 -33.3828     0.85
0.850048 -33.3825     0.85
0.850051 -33.3822     0.85
0.850054 -33.3819     0.85
0.850057 -33.3816     0.85
 0.85006 -33.3813     0.85
0.850063  -33.381     0.85
0.850066 -33.3807     0.85
0.850069 -33.3804     0.85
0.850072 -33.3801     0.85
0.850075 -33.3798     0.85
0.850078 -33.3795     0.85
0.850081 -33.3792     0.85
0.850084 -33.3789     0.85
0.850087 -33.3786     0.85
 0.85009 -33.3783     0.85
0.850093 -33.3779     0.85
0.850096 -33.3776     0.85
0.850099 -33.3773     0.85
0.850102  -33.377     0.85
0.850105 -33.3767     0.85
0.850108 -33.3764     0.85
0.850111 -33.3761     0.85
0.850114 -33.3758     0.85
0.850117 -33.3755     0.85
 0.85012 -33.3752     0.85
0.850123 -33.3749     0.85
0.850126 -33.3746     0.85
0.850129 -33.3743     0.85
0.850132  -33.374     0.85
0.850135 -33.3737     0.85
0.850138 -33.3734     0.85
0.850141  -33.373     0.85
0.850144 -33.3727     0.85
0.850147 -33.3724     0.85
 0.85015 -33.3721     0.85
0.850153 -33.3718     0.85
0.850156 -33.3715     0.85
0.850159 -33.3712     0.85
0.850162 -33.3709     0.85
0.850165 -33.3706     0.85
0.850168 -33.3703     0.85
0.850171   -33.37     0.85
0.850174 -33.3697     0.85
0.850177 -33.3694     0.85
 0.85018 -33.3691     0.85
0.850183 -33.3688     0.85
0.850186 -33.3685     0.85
0.850189 -33.3682     0.85
0.850192 -33.3678     0.85
0.850195 -33.3675     0.85
0.850198 -33.3672     0.85
0.850201 -33.3669     0.85
0.850204 -33.3666     0.85
0.850207 -33.3663     0.85
 0.85021  -33.366     0.85
0.850213 -33.3657     0.85
0.850216 -33.3654     0.85
0.850219 -33.3651     0.85
0.850222 -33.3648     0.85
0.850225 -33.3645     0.85
0.850228 -33.3642     0.85
0.850231 -33.3639     0.85
